City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
273,hobyo,SO,86.41,5.35,48.53,Osmani Hotel
274,itaueira,BR,71.31,-7.6,-43.03,Hotel Pousada Luz
275,parsabad,IR,87.8,39.65,47.92,Peacock Hotel Magi
277,asilah,MA,71.6,35.47,-6.03,Hotel Zelis
279,saint anthony,US,62.6,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
282,ostashkov,RU,78.53,57.15,33.11,Ashkhen
285,pemangkat,ID,82.36,1.17,108.97,Kost H.Syamsuddin
286,sargodha,PK,101.79,32.08,72.67,Ayesha Hostel
287,clinton,US,60.8,42.59,-82.92,River's Edge
289,alyangula,AU,80.6,-13.85,136.42,Groote Eylandt Lodge
290,kudahuvadhoo,MV,83.7,2.67,72.89,Kudahuvadhoo Retreat
291,koboko,UG,74.62,3.41,30.96,Blue Dove Hotel
294,saint-georges,GD,80.6,12.06,-61.75,Radisson Grenada Beach Resort
297,banjar,ID,82.4,-8.19,114.97,The Hamsa Resort
298,shitanjing,CN,80.8,39.23,106.34,
299,monroe,US,63.0,43.15,-77.68,Staybridge Suites Rochester University
301,ribeira grande,PT,60.8,38.52,-28.7,Quinta da Meia Eira
302,toucheng,TW,102.0,24.86,121.82,和風時尚館
303,libin,BE,72.0,49.98,5.28,Les Gamines
304,acarau,BR,74.46,-2.89,-40.12,castelo pizzaria
305,kirakira,SB,80.47,-10.45,161.92,SanBiz Lodge
307,tiarei,PF,78.8,-17.53,-149.33,Le Rocher de Tahiti
308,surt,LY,76.26,31.21,16.59,City Hotel
309,tautira,PF,78.8,-17.73,-149.15,Pension Oaoa
310,monte alegre,BR,73.51,-2.01,-54.07,Hotel Shekinah
311,bathsheba,BB,82.4,13.22,-59.52,Atlantis Hotel
312,coro,VE,76.41,11.4,-69.67,Federal
313,trat,TH,87.8,12.5,102.5,สวนหนิง-อัศ
317,sao jose da coroa grande,BR,75.27,-8.9,-35.15,Crôa Mares Hotel
318,saint-pierre,RE,77.0,-21.34,55.48,Lindsey Hôtel
319,taungdwingyi,MM,91.51,20.02,95.55,NayNaing MobileService
320,trinidad,BO,73.18,-14.83,-64.9,Hotel Piesta
321,souillac,MU,73.4,-20.52,57.52,Bils' Villa
322,kindu,CD,88.11,-2.95,25.95,Hotel Karibu
323,uige,AO,78.12,-7.61,15.06,Juliao Pereira
326,mahajanga,MG,84.2,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
328,milos,GR,77.0,36.75,24.43,Ξενοδοχείο Αγνάντι
329,krasnoarmeysk,RU,64.0,51.02,45.7,Gostinitsa Komfort
330,black diamond,US,63.0,47.31,-122.0,Lake Sawyer RV Resort
332,la asuncion,VE,78.8,11.03,-63.86,Colinas de Matasiete
333,meulaboh,ID,87.49,4.14,96.13,Kost Pria
335,belaya gora,RU,86.18,68.53,146.42,
336,saint-philippe,RE,77.0,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
340,manzhouli,CN,73.29,49.6,117.43,Angala International Youth Hostel
341,karratha,AU,79.45,-20.74,116.85,ibis Styles Karratha
343,maiduguri,NG,88.9,11.85,13.16,College of Nursing & Midwifery Female's Hostel
344,tecpan,GT,62.6,14.76,-90.99,San Ricardo Restaurante y Hotel
345,mandalay,MM,96.8,21.97,96.08,Hotel Yadanarbon
346,cape canaveral,US,82.99,28.41,-80.6,Residence Inn by Marriott Cape Canaveral Cocoa Beach
347,makkaveyevo,RU,73.4,51.75,113.95,
352,verkhnevilyuysk,RU,76.35,63.45,120.32,Gostinitsa Mila
353,broken hill,AU,60.8,-31.95,141.43,Daydream Motel & Cottages
355,waddan,LY,84.24,29.16,16.14,محل الشريف محمد العايب
357,kurchum,KZ,79.45,48.57,83.65,
359,zyryanka,RU,85.91,65.75,150.85,Zyryanka
360,yamada,JP,64.36,39.47,141.95,Iroha-ya Inn
362,hukuntsi,BW,60.64,-24.0,21.75,Entabeni Hotel
365,morondava,MG,77.2,-20.28,44.28,La Case Bambou
366,berdigestyakh,RU,76.96,62.1,126.7,
367,dalaba,GN,64.78,10.7,-12.25,Hôtel Tangama
368,padang,ID,85.96,-0.95,100.35,Mercure Padang
370,saint george,US,84.2,37.1,-113.58,Best Western Plus Abbey Inn
372,nha trang,VN,98.6,12.25,109.18,Hanoi Golden Hotel
373,gimli,CA,61.0,50.63,-96.99,Lakeview Gimli Resort
374,suicheng,CN,89.74,33.9,117.93,Junyue Hotel
375,topolobampo,MX,81.0,25.6,-109.05,Tortuga Hostel
378,bandarbeyla,SO,90.99,9.49,50.81,REER XOOSHLE GROUP
379,syracuse,IT,80.6,37.09,15.28,Hotel Posta
380,rosetta,EG,78.8,31.4,30.42,Green Valley
382,pavlogradka,RU,74.66,54.2,73.56,
383,mayumba,GA,73.89,-3.43,10.66,LIKWALE LODGE
384,qostanay,KZ,68.0,53.17,63.58,Hotel Fessla
385,aykhal,RU,78.8,66.0,111.5,
387,ingleside,US,81.0,27.88,-97.21,Quality Inn Ingleside - Corpus Christi
388,valley city,US,64.4,46.92,-98.0,AmericInn by Wyndham Valley City Conference Center
389,kathu,TH,82.4,7.92,98.33,Sunset Beach Resort
390,nardaran,AZ,84.2,40.56,50.01,Bilgah Beach Hotel
391,high level,CA,60.8,58.52,-117.14,Days Inn by Wyndham High Level
392,port-gentil,GA,75.2,-0.72,8.78,Fengshui Residence
393,yulara,AU,69.8,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
394,tim,RU,69.8,51.62,37.12,
395,najran,SA,89.6,17.49,44.13,محمد هادي ال فطيح
397,manoel urbano,BR,70.9,-8.84,-69.26,Baixada Beira Rio
398,kattivakkam,IN,93.2,13.22,80.32,St. Joseph Thirumana mandapam
400,coahuayana,MX,77.0,18.73,-103.68,Hotel Los Arcos
401,viet tri,VN,87.8,21.3,105.43,Trung tâm Hội nghị tỉnh Phú Thọ
402,caibarien,CU,77.0,22.52,-79.47,La Nena
403,tananger,NO,72.0,58.93,5.6,Hummeren Hotel
405,lata,PT,64.0,40.16,-8.33,Casa Maquia
407,laguna,US,75.2,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
408,emerald,AU,71.6,-23.53,148.17,The Irish Village
410,coos bay,US,60.01,43.37,-124.22,Best Western Holiday Hotel
411,tabou,CI,77.58,4.42,-7.35,hotêl doufoulougou
414,sarai naurang,PK,100.26,32.83,70.78,Zargar ice Factory
415,torrington,US,63.0,41.8,-73.12,The Yankee Pedlar Inn
416,monrovia,LR,77.0,6.3,-10.8,Eco-Hotel Hall & Restaurant
418,saint pete beach,US,82.4,27.73,-82.74,TradeWinds Island Grand Resort
420,sterling,US,69.01,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
421,peterhead,GB,62.01,57.51,-1.8,Palace Hotel
422,umm lajj,SA,87.22,25.02,37.27,Moon light Furnished Units
424,riverton,US,73.0,40.52,-111.94,Ramada by Wyndham Draper
425,namibe,AO,72.19,-15.2,12.15,Hotel Chik Chik Namibe
428,alghero,IT,84.0,40.56,8.32,Hotel Carlos V
431,huarmey,PE,60.87,-10.07,-78.15,Hotel Miramar
432,kaupanger,NO,70.0,61.18,7.24,Vesterland Holiday Park
433,amanganj,IN,93.2,24.43,80.03,Matki Choraha
434,guaratinga,BR,66.2,-16.57,-39.57,Hotel Caraíva
437,singaraja,ID,81.82,-8.11,115.09,Puri Bagus Lovina Resort
438,palmares do sul,BR,67.42,-30.26,-50.51,Restaurante e Pensão Lopes
439,dubai,AE,104.0,25.26,55.3,"Radisson Blu Hotel, Dubai Deira Creek"
440,srednekolymsk,RU,83.1,67.45,153.68,
